Order_ID,Order_Date,City,Product,Qty,Revenue,Cost,Status,Delivery_Days
ORD-100034,2025-01-11,Oujda,AirPods Pro 2,2,5600,3919.9999999999995,Delivered,6
ORD-100035,2025-07-06,Oujda,GoPro Hero 12,5,25000,17500.0,Delivered,7
ORD-100036,2025-05-06,Rabat,Samsung Galaxy S24,1,11000,7699.999999999999,Cancelled,4
ORD-100037,2025-11-16,Agadir,Blender Hofmann,5,3000,2100.0,Delivered,3
ORD-100038,2025-11-24,Tanger,Sony PlayStation 5,1,6500,4550.0,Delivered,12
ORD-100039,2025-01-16,Fes,Trottinette Électrique Xiaomi,5,21000,14700.0,Delivered,12
ORD-100040,2025-06-30,Agadir,iPhone 15 Pro,4,54000,37800.0,Delivered,2
ORD-100041,2025-08-20,Rabat,Machine à Café Nespresso,1,1500,1050.0,Cancelled,11
ORD-100042,2025-05-06,Marrakech,AirPods Pro 2,4,11200,7839.999999999999,Delivered,7
ORD-100043,2025-10-25,Tanger,Trottinette Électrique Xiaomi,2,8400,5880.0,Cancelled,6
ORD-100044,2025-07-29,Agadir,Machine à Laver Samsung,1,4500,3150.0,Delivered,3
ORD-100045,2025-11-14,Oujda,Blender Hofmann,3,1800,1260.0,Delivered,12
ORD-100046,2025-10-21,Marrakech,Xbox Series X,5,29000,20299.999999999996,Delivered,12
ORD-100047,2025-05-06,Agadir,GoPro Hero 12,4,20000,14000.0,Delivered,13
ORD-100048,2025-10-22,Tanger,Sony PlayStation 5,1,6500,4550.0,Cancelled,1
ORD-100049,2025-04-16,Fes,Laptop Dell XPS,1,18000,12600.0,Pending,7
ORD-100050,2025-08-20,Oujda,Machine à Laver Samsung,2,9000,6300.0,Pending,11
ORD-100051,2025-08-10,Casablanca,iPad Air,5,37500,26250.0,Pending,9
ORD-100052,2025-04-06,Marrakech,Sony PlayStation 5,1,6500,4550.0,Pending,5
ORD-100053,2025-10-06,Agadir,Blender Hofmann,1,600,420.0,Pending,15
ORD-100054,2025-10-23,Oujda,Imprimante HP LaserJet,5,12500,8750.0,Delivered,11
ORD-100055,2025-05-30,Oujda,Blender Hofmann,5,3000,2100.0,Delivered,4
ORD-100056,2025-07-22,Fes,Imprimante HP LaserJet,2,5000,3500.0,Cancelled,8
ORD-100057,2025-02-10,Fes,Apple Watch Series 9,1,4500,3150.0,Returned,14
ORD-100058,2025-09-14,Fes,Machine à Café Nespresso,5,7500,5250.0,Delivered,15
ORD-100059,2025-07-22,Oujda,Apple Watch Series 9,5,22500,15750.0,Cancelled,7
ORD-100060,2025-06-01,Tanger,Samsung Galaxy S24,1,11000,7699.999999999999,Delivered,1
ORD-100061,2025-03-26,Rabat,Blender Hofmann,1,600,420.0,Pending,10
ORD-100062,2025-09-21,Rabat,MacBook Pro M3,1,24000,16800.0,Pending,11
ORD-100063,2025-05-14,Marrakech,Apple Watch Series 9,4,18000,12600.0,Returned,3
ORD-100064,2025-11-07,Marrakech,Xbox Series X,3,17400,12179.999999999998,Delivered,12
ORD-100065,2025-04-23,Fes,Samsung Galaxy S24,1,11000,7699.999999999999,Pending,13
ORD-100066,2025-11-16,Fes,Réfrigérateur LG,4,32000,22400.0,Delivered,2
ORD-100067,2025-12-23,Marrakech,iPhone 15 Pro,3,40500,28350.0,Cancelled,9
ORD-100068,2025-08-04,Rabat,Disque Dur Externe 1TB,4,2200,1540.0,Delivered,7
ORD-100069,2025-01-31,Marrakech,MacBook Pro M3,2,48000,33600.0,Delivered,13
ORD-100070,2025-11-15,Agadir,Drone DJI Mini,5,30000,21000.0,Delivered,6
ORD-100071,2025-06-06,Rabat,Laptop Dell XPS,1,18000,12600.0,Delivered,5
ORD-100072,2025-02-17,Rabat,Apple Watch Series 9,1,4500,3150.0,Returned,15
ORD-100073,2025-08-13,Fes,Machine à Laver Samsung,4,18000,12600.0,Cancelled,13
ORD-100074,2025-05-03,Marrakech,Xbox Series X,2,11600,8119.999999999999,Delivered,5
ORD-100075,2025-08-07,Tanger,Samsung Galaxy S24,5,55000,38499.99999999999,Delivered,9
ORD-100076,2025-07-07,Tanger,Trottinette Électrique Xiaomi,5,21000,14700.0,Returned,2
ORD-100077,2025-01-05,Fes,Casque Gamer HyperX,5,4500,3150.0,Delivered,10
ORD-100078,2025-08-10,Rabat,Drone DJI Mini,5,30000,21000.0,Delivered,7
ORD-100079,2025-07-22,Oujda,GoPro Hero 12,1,5000,3500.0,Cancelled,8
ORD-100080,2025-10-29,Fes,Machine à Café Nespresso,4,6000,4200.0,Cancelled,12
ORD-100081,2025-08-25,Fes,Trottinette Électrique Xiaomi,4,16800,11760.0,Returned,14
ORD-100082,2025-02-25,Rabat,iPad Air,2,15000,10500.0,Delivered,5
ORD-100083,2025-08-16,Rabat,iPhone 15 Pro,5,67500,47250.0,Pending,15
ORD-100084,2025-06-11,Agadir,iPhone 15 Pro,1,13500,9450.0,Returned,15
ORD-100085,2025-02-05,Rabat,Blender Hofmann,3,1800,1260.0,Returned,9
ORD-100086,2025-12-04,Marrakech,Réfrigérateur LG,3,24000,16800.0,Delivered,13
ORD-100087,2025-06-23,Oujda,Xbox Series X,1,5800,4059.9999999999995,Delivered,6
ORD-100088,2025-09-04,Agadir,MacBook Pro M3,3,72000,50400.0,Delivered,3
ORD-100089,2025-05-29,Marrakech,Air Fryer Ninja,2,3600,2520.0,Delivered,4
ORD-100090,2025-02-07,Tanger,Machine à Laver Samsung,2,9000,6300.0,Cancelled,1
ORD-100091,2025-07-18,Marrakech,Air Fryer Ninja,1,1800,1260.0,Returned,15
ORD-100092,2025-10-16,Marrakech,Laptop Dell XPS,1,18000,12600.0,Returned,5
ORD-100093,2025-07-17,Casablanca,Xbox Series X,4,23200,16239.999999999998,Returned,11
ORD-100094,2025-12-23,Tanger,Apple Watch Series 9,2,9000,6300.0,Delivered,13
ORD-100095,2025-11-28,Casablanca,iPhone 15 Pro,5,67500,47250.0,Delivered,14
ORD-100096,2025-09-22,Tanger,Xbox Series X,1,5800,4059.9999999999995,Delivered,5
ORD-100097,2025-03-23,Fes,Chaise Gaming Drift,1,2200,1540.0,Delivered,13
ORD-100098,2025-10-24,Agadir,Trottinette Électrique Xiaomi,1,4200,2940.0,Pending,1
ORD-100099,2025-11-09,Tanger,Xbox Series X,3,17400,12179.999999999998,Delivered,15
ORD-100100,2025-09-09,Agadir,TV Samsung 55' 4K,4,22000,15399.999999999998,Pending,6
ORD-100101,2025-12-11,Casablanca,Machine à Laver Samsung,5,22500,15750.0,Pending,1
ORD-100102,2025-06-23,Rabat,Casque Gamer HyperX,1,900,630.0,Delivered,11
ORD-100103,2025-02-24,Marrakech,GoPro Hero 12,4,20000,14000.0,Delivered,3
ORD-100104,2025-03-26,Fes,Samsung Galaxy S24,4,44000,30799.999999999996,Returned,9
ORD-100105,2025-12-12,Marrakech,AirPods Pro 2,4,11200,7839.999999999999,Cancelled,15
ORD-100106,2025-01-24,Rabat,Chaise Gaming Drift,4,8800,6160.0,Pending,15
ORD-100107,2025-04-27,Casablanca,GoPro Hero 12,3,15000,10500.0,Delivered,12
ORD-100108,2025-05-02,Casablanca,Blender Hofmann,1,600,420.0,Delivered,2
ORD-100109,2025-12-27,Rabat,Disque Dur Externe 1TB,2,1100,770.0,Pending,1
ORD-100110,2025-09-15,Oujda,Drone DJI Mini,2,12000,8400.0,Cancelled,8
ORD-100111,2025-06-12,Oujda,Machine à Café Nespresso,4,6000,4200.0,Delivered,1
ORD-100112,2025-02-18,Oujda,Machine à Laver Samsung,1,4500,3150.0,Cancelled,9
ORD-100113,2025-04-15,Fes,Casque Gamer HyperX,5,4500,3150.0,Cancelled,4
ORD-100114,2025-12-11,Agadir,Machine à Café Nespresso,2,3000,2100.0,Pending,14
ORD-100115,2025-04-15,Rabat,GoPro Hero 12,5,25000,17500.0,Delivered,2
ORD-100116,2025-09-25,Casablanca,iPad Air,2,15000,10500.0,Delivered,2
ORD-100117,2025-05-14,Casablanca,iPad Air,2,15000,10500.0,Cancelled,15
ORD-100118,2025-08-03,Rabat,Casque Gamer HyperX,2,1800,1260.0,Pending,15
ORD-100119,2025-10-30,Agadir,Imprimante HP LaserJet,5,12500,8750.0,Delivered,12
ORD-100120,2025-03-22,Tanger,Laptop Dell XPS,4,72000,50400.0,Delivered,10
ORD-100121,2025-11-05,Rabat,Laptop Dell XPS,1,18000,12600.0,Pending,7
ORD-100122,2025-03-24,Oujda,Machine à Café Nespresso,2,3000,2100.0,Delivered,8
ORD-100123,2025-12-02,Marrakech,Blender Hofmann,3,1800,1260.0,Pending,2
ORD-100124,2025-03-12,Marrakech,Robot Aspirateur Xiaomi,5,16000,11200.0,Pending,3
ORD-100125,2025-06-19,Fes,Casque Gamer HyperX,1,900,630.0,Delivered,9
ORD-100126,2025-12-08,Marrakech,Blender Hofmann,5,3000,2100.0,Cancelled,9
ORD-100127,2025-11-14,Casablanca,Xbox Series X,2,11600,8119.999999999999,Delivered,14
ORD-100128,2025-11-03,Oujda,iPhone 15 Pro,3,40500,28350.0,Cancelled,5
ORD-100129,2025-05-21,Marrakech,Xbox Series X,4,23200,16239.999999999998,Cancelled,9
ORD-100130,2025-08-07,Casablanca,Machine à Laver Samsung,5,22500,15750.0,Delivered,3
ORD-100131,2025-03-13,Agadir,Samsung Galaxy S24,3,33000,23099.999999999996,Returned,8
ORD-100132,2025-05-08,Agadir,Air Fryer Ninja,4,7200,5040.0,Delivered,10
ORD-100133,2025-05-29,Casablanca,Xbox Series X,2,11600,8119.999999999999,Delivered,15
ORD-100134,2025-12-12,Oujda,Casque Gamer HyperX,1,900,630.0,Delivered,3
ORD-100135,2025-06-19,Agadir,Samsung Galaxy S24,4,44000,30799.999999999996,Delivered,3
ORD-100136,2025-01-30,Tanger,Machine à Laver Samsung,3,13500,9450.0,Returned,4
ORD-100137,2025-10-19,Marrakech,Laptop Dell XPS,1,18000,12600.0,Returned,9
ORD-100138,2025-01-29,Agadir,Chaise Gaming Drift,5,11000,7700.0,Returned,2
ORD-100139,2025-01-24,Marrakech,Apple Watch Series 9,4,18000,12600.0,Pending,11
ORD-100140,2025-09-13,Agadir,Apple Watch Series 9,4,18000,12600.0,Delivered,6
ORD-100141,2025-07-05,Fes,GoPro Hero 12,5,25000,17500.0,Delivered,3
ORD-100142,2025-04-11,Rabat,Machine à Laver Samsung,2,9000,6300.0,Pending,5
ORD-100143,2025-03-11,Oujda,Robot Aspirateur Xiaomi,5,16000,11200.0,Returned,7
ORD-100144,2025-03-26,Agadir,GoPro Hero 12,2,10000,7000.0,Delivered,12
ORD-100145,2025-02-26,Oujda,Drone DJI Mini,1,6000,4200.0,Delivered,4
ORD-100146,2025-02-28,Agadir,Machine à Café Nespresso,2,3000,2100.0,Delivered,13
ORD-100147,2025-04-28,Oujda,Xbox Series X,2,11600,8119.999999999999,Returned,15
ORD-100148,2025-03-16,Tanger,Chaise Gaming Drift,3,6600,4620.0,Delivered,7
ORD-100149,2025-10-10,Tanger,Samsung Galaxy S24,5,55000,38499.99999999999,Returned,10
ORD-100150,2025-09-25,Agadir,Sony PlayStation 5,1,6500,4550.0,Returned,12
ORD-100151,2025-01-24,Agadir,Blender Hofmann,1,600,420.0,Delivered,8
ORD-100152,2025-11-06,Oujda,Imprimante HP LaserJet,5,12500,8750.0,Delivered,14
ORD-100153,2025-03-16,Rabat,Réfrigérateur LG,4,32000,22400.0,Delivered,6
ORD-100154,2025-04-03,Fes,Chaise Gaming Drift,2,4400,3080.0,Cancelled,15
ORD-100155,2025-07-15,Agadir,Trottinette Électrique Xiaomi,2,8400,5880.0,Delivered,6
ORD-100156,2025-06-17,Fes,Imprimante HP LaserJet,3,7500,5250.0,Delivered,5
ORD-100157,2025-03-17,Tanger,iPhone 15 Pro,1,13500,9450.0,Delivered,8
ORD-100158,2025-12-12,Casablanca,Chaise Gaming Drift,5,11000,7700.0,Returned,5
ORD-100159,2025-05-04,Marrakech,Machine à Laver Samsung,5,22500,15750.0,Cancelled,1
ORD-100160,2025-02-22,Casablanca,Laptop Dell XPS,3,54000,37800.0,Returned,1
ORD-100161,2025-09-14,Tanger,Réfrigérateur LG,2,16000,11200.0,Delivered,14
ORD-100162,2025-11-15,Agadir,Air Fryer Ninja,3,5400,3780.0,Delivered,7
ORD-100163,2025-06-16,Marrakech,Blender Hofmann,5,3000,2100.0,Delivered,5
ORD-100164,2025-11-29,Rabat,Robot Aspirateur Xiaomi,5,16000,11200.0,Returned,2
ORD-100165,2025-05-05,Tanger,Disque Dur Externe 1TB,5,2750,1925.0,Cancelled,4
ORD-100166,2025-04-28,Rabat,Machine à Café Nespresso,2,3000,2100.0,Cancelled,5
ORD-100167,2025-03-04,Marrakech,Disque Dur Externe 1TB,5,2750,1925.0,Pending,7
ORD-100168,2025-04-18,Tanger,Imprimante HP LaserJet,3,7500,5250.0,Pending,12
ORD-100169,2025-02-27,Fes,Robot Aspirateur Xiaomi,1,3200,2240.0,Delivered,13
ORD-100170,2025-01-01,Fes,MacBook Pro M3,3,72000,50400.0,Pending,10
ORD-100171,2025-09-05,Agadir,iPad Air,3,22500,15750.0,Delivered,10
ORD-100172,2025-03-09,Rabat,Machine à Café Nespresso,3,4500,3150.0,Delivered,1
ORD-100173,2025-01-15,Rabat,Machine à Café Nespresso,3,4500,3150.0,Returned,6
ORD-100174,2025-11-07,Marrakech,Samsung Galaxy S24,1,11000,7699.999999999999,Returned,2
ORD-100175,2025-09-14,Rabat,Sony PlayStation 5,5,32500,22750.0,Returned,15
ORD-100176,2025-10-21,Oujda,Air Fryer Ninja,3,5400,3780.0,Pending,7
ORD-100177,2025-10-02,Oujda,Disque Dur Externe 1TB,4,2200,1540.0,Delivered,9
ORD-100178,2025-12-22,Marrakech,Air Fryer Ninja,4,7200,5040.0,Delivered,13
ORD-100179,2025-04-05,Tanger,Machine à Laver Samsung,1,4500,3150.0,Pending,8
ORD-100180,2025-08-27,Tanger,Air Fryer Ninja,1,1800,1260.0,Delivered,13
ORD-100181,2025-04-15,Agadir,Sony PlayStation 5,1,6500,4550.0,Delivered,14
ORD-100182,2025-01-27,Fes,iPhone 15 Pro,3,40500,28350.0,Cancelled,14
ORD-100183,2025-10-08,Fes,Disque Dur Externe 1TB,3,1650,1155.0,Delivered,8
ORD-100184,2025-12-28,Casablanca,Air Fryer Ninja,2,3600,2520.0,Delivered,3
ORD-100185,2025-03-27,Casablanca,Samsung Galaxy S24,3,33000,23099.999999999996,Delivered,2
ORD-100186,2025-10-11,Agadir,TV Samsung 55' 4K,4,22000,15399.999999999998,Cancelled,2
ORD-100187,2025-08-22,Rabat,iPhone 15 Pro,3,40500,28350.0,Delivered,15
ORD-100188,2025-06-20,Marrakech,MacBook Pro M3,2,48000,33600.0,Returned,1
ORD-100189,2025-04-09,Marrakech,iPad Air,3,22500,15750.0,Pending,4
ORD-100190,2025-02-06,Rabat,iPhone 15 Pro,2,27000,18900.0,Delivered,5
ORD-100191,2025-09-03,Agadir,Machine à Café Nespresso,2,3000,2100.0,Delivered,7
ORD-100192,2025-03-06,Oujda,Machine à Café Nespresso,2,3000,2100.0,Delivered,10
ORD-100193,2025-10-28,Marrakech,Blender Hofmann,2,1200,840.0,Delivered,2
ORD-100194,2025-11-28,Rabat,AirPods Pro 2,2,5600,3919.9999999999995,Cancelled,13
ORD-100195,2025-11-06,Tanger,Réfrigérateur LG,1,8000,5600.0,Delivered,2
ORD-100196,2025-09-05,Rabat,Réfrigérateur LG,4,32000,22400.0,Returned,4
ORD-100197,2025-07-13,Fes,AirPods Pro 2,2,5600,3919.9999999999995,Delivered,1
ORD-100198,2025-08-15,Agadir,Disque Dur Externe 1TB,3,1650,1155.0,Delivered,10
ORD-100199,2025-04-09,Rabat,GoPro Hero 12,3,15000,10500.0,Delivered,9
ORD-100200,2025-12-01,Agadir,Sony PlayStation 5,2,13000,9100.0,Delivered,11
ORD-100201,2025-08-04,Casablanca,Xbox Series X,4,23200,16239.999999999998,Pending,11
ORD-100202,2025-07-28,Casablanca,Sony PlayStation 5,3,19500,13650.0,Pending,10
ORD-100203,2025-01-10,Fes,Trottinette Électrique Xiaomi,5,21000,14700.0,Delivered,9
ORD-100204,2025-06-24,Oujda,Drone DJI Mini,5,30000,21000.0,Delivered,8
ORD-100205,2025-11-07,Casablanca,iPad Air,5,37500,26250.0,Delivered,3
ORD-100206,2025-04-15,Oujda,Casque Gamer HyperX,4,3600,2520.0,Delivered,2
ORD-100207,2025-11-07,Rabat,Trottinette Électrique Xiaomi,1,4200,2940.0,Delivered,5
ORD-100208,2025-09-02,Casablanca,Chaise Gaming Drift,5,11000,7700.0,Cancelled,14
ORD-100209,2025-08-31,Oujda,GoPro Hero 12,2,10000,7000.0,Cancelled,3
ORD-100210,2025-03-26,Oujda,iPhone 15 Pro,4,54000,37800.0,Returned,1
ORD-100211,2025-03-22,Fes,Machine à Laver Samsung,4,18000,12600.0,Cancelled,1
ORD-100212,2025-05-13,Casablanca,Robot Aspirateur Xiaomi,1,3200,2240.0,Delivered,15
ORD-100213,2025-03-14,Casablanca,Laptop Dell XPS,4,72000,50400.0,Delivered,13
ORD-100214,2025-07-03,Tanger,Trottinette Électrique Xiaomi,5,21000,14700.0,Delivered,14
ORD-100215,2025-03-02,Marrakech,Samsung Galaxy S24,2,22000,15399.999999999998,Delivered,12
ORD-100216,2025-02-11,Marrakech,TV Samsung 55' 4K,1,5500,3849.9999999999995,Returned,2
ORD-100217,2025-02-27,Rabat,Réfrigérateur LG,2,16000,11200.0,Cancelled,10
ORD-100218,2025-04-16,Rabat,Air Fryer Ninja,5,9000,6300.0,Delivered,11
ORD-100219,2025-07-26,Casablanca,Air Fryer Ninja,3,5400,3780.0,Pending,8
ORD-100220,2025-06-01,Agadir,Samsung Galaxy S24,1,11000,7699.999999999999,Cancelled,1
ORD-100221,2025-08-17,Rabat,Sony PlayStation 5,2,13000,9100.0,Delivered,10
ORD-100222,2025-08-10,Agadir,Sony PlayStation 5,1,6500,4550.0,Delivered,2
ORD-100223,2025-05-12,Rabat,MacBook Pro M3,2,48000,33600.0,Delivered,8
ORD-100224,2025-11-15,Oujda,Casque Gamer HyperX,2,1800,1260.0,Returned,14
ORD-100225,2025-03-05,Tanger,Chaise Gaming Drift,2,4400,3080.0,Pending,8
ORD-100226,2025-03-01,Casablanca,AirPods Pro 2,4,11200,7839.999999999999,Pending,7
ORD-100227,2025-02-25,Fes,Laptop Dell XPS,3,54000,37800.0,Delivered,4
ORD-100228,2025-08-01,Fes,Réfrigérateur LG,3,24000,16800.0,Cancelled,13
ORD-100229,2025-12-31,Agadir,Casque Gamer HyperX,5,4500,3150.0,Delivered,5
ORD-100230,2025-01-18,Casablanca,Samsung Galaxy S24,4,44000,30799.999999999996,Delivered,12
ORD-100231,2025-09-02,Casablanca,Samsung Galaxy S24,5,55000,38499.99999999999,Returned,11
ORD-100232,2025-01-03,Casablanca,Blender Hofmann,4,2400,1680.0,Cancelled,15
ORD-100233,2025-10-26,Oujda,Trottinette Électrique Xiaomi,3,12600,8820.0,Cancelled,3
ORD-100234,2025-11-15,Fes,Apple Watch Series 9,4,18000,12600.0,Pending,11
ORD-100235,2025-12-08,Fes,Samsung Galaxy S24,1,11000,7699.999999999999,Delivered,8
ORD-100236,2025-04-12,Rabat,Trottinette Électrique Xiaomi,4,16800,11760.0,Delivered,2
ORD-100237,2025-06-27,Fes,Air Fryer Ninja,1,1800,1260.0,Pending,10
ORD-100238,2025-05-16,Casablanca,Machine à Laver Samsung,5,22500,15750.0,Delivered,3
ORD-100239,2025-09-20,Rabat,Disque Dur Externe 1TB,4,2200,1540.0,Delivered,9
ORD-100240,2025-10-28,Agadir,TV Samsung 55' 4K,3,16500,11549.999999999998,Cancelled,15
ORD-100241,2025-06-23,Marrakech,Laptop Dell XPS,5,90000,63000.0,Delivered,1
ORD-100242,2025-12-07,Oujda,Machine à Laver Samsung,3,13500,9450.0,Returned,9
ORD-100243,2025-06-06,Marrakech,Chaise Gaming Drift,5,11000,7700.0,Pending,6
ORD-100244,2025-12-23,Casablanca,Disque Dur Externe 1TB,1,550,385.0,Delivered,4
ORD-100245,2025-06-08,Rabat,Machine à Laver Samsung,3,13500,9450.0,Cancelled,8
ORD-100246,2025-11-02,Agadir,Samsung Galaxy S24,3,33000,23099.999999999996,Cancelled,2
ORD-100247,2025-03-08,Tanger,Air Fryer Ninja,2,3600,2520.0,Pending,1
ORD-100248,2025-04-24,Tanger,Casque Gamer HyperX,3,2700,1890.0,Returned,7
ORD-100249,2025-04-05,Fes,Samsung Galaxy S24,4,44000,30799.999999999996,Delivered,2
ORD-100250,2025-05-26,Rabat,Casque Gamer HyperX,3,2700,1890.0,Cancelled,7
ORD-100251,2025-08-30,Casablanca,Réfrigérateur LG,3,24000,16800.0,Returned,8
ORD-100252,2025-04-19,Fes,Imprimante HP LaserJet,5,12500,8750.0,Returned,13
ORD-100253,2025-10-23,Rabat,iPhone 15 Pro,3,40500,28350.0,Delivered,7
ORD-100254,2025-05-28,Agadir,Machine à Laver Samsung,5,22500,15750.0,Pending,13
ORD-100255,2025-02-09,Casablanca,TV Samsung 55' 4K,4,22000,15399.999999999998,Delivered,14
ORD-100256,2025-02-12,Agadir,Imprimante HP LaserJet,1,2500,1750.0,Delivered,10
ORD-100257,2025-03-02,Tanger,Laptop Dell XPS,5,90000,63000.0,Delivered,6
ORD-100258,2025-11-28,Oujda,iPad Air,5,37500,26250.0,Cancelled,1
ORD-100259,2025-03-11,Tanger,Blender Hofmann,4,2400,1680.0,Pending,2
ORD-100260,2025-01-02,Tanger,iPhone 15 Pro,5,67500,47250.0,Delivered,10
ORD-100261,2025-02-21,Oujda,Xbox Series X,4,23200,16239.999999999998,Delivered,4
ORD-100262,2025-10-19,Tanger,TV Samsung 55' 4K,2,11000,7699.999999999999,Cancelled,14
ORD-100263,2025-12-07,Agadir,Sony PlayStation 5,1,6500,4550.0,Delivered,10
ORD-100264,2025-10-11,Tanger,Casque Gamer HyperX,4,3600,2520.0,Returned,14
ORD-100265,2025-11-21,Oujda,Robot Aspirateur Xiaomi,1,3200,2240.0,Returned,11
ORD-100266,2025-04-05,Oujda,Casque Gamer HyperX,2,1800,1260.0,Cancelled,13
ORD-100267,2025-11-02,Rabat,iPad Air,4,30000,21000.0,Delivered,6
ORD-100268,2025-10-31,Oujda,iPad Air,1,7500,5250.0,Delivered,15
ORD-100269,2025-08-25,Tanger,TV Samsung 55' 4K,2,11000,7699.999999999999,Delivered,12
ORD-100270,2025-09-25,Agadir,AirPods Pro 2,2,5600,3919.9999999999995,Returned,12
ORD-100271,2025-12-03,Oujda,TV Samsung 55' 4K,1,5500,3849.9999999999995,Returned,11
ORD-100272,2025-02-21,Oujda,Xbox Series X,3,17400,12179.999999999998,Returned,4
ORD-100273,2025-07-14,Oujda,Robot Aspirateur Xiaomi,1,3200,2240.0,Delivered,7
ORD-100274,2025-12-06,Fes,Air Fryer Ninja,5,9000,6300.0,Delivered,3
ORD-100275,2025-08-15,Oujda,MacBook Pro M3,5,120000,84000.0,Pending,10
ORD-100276,2025-03-28,Agadir,iPad Air,3,22500,15750.0,Delivered,3
ORD-100277,2025-09-01,Oujda,Apple Watch Series 9,1,4500,3150.0,Delivered,9
ORD-100278,2025-06-28,Tanger,Machine à Laver Samsung,3,13500,9450.0,Pending,9
ORD-100279,2025-01-08,Tanger,Réfrigérateur LG,3,24000,16800.0,Pending,6
ORD-100280,2025-06-25,Rabat,Samsung Galaxy S24,4,44000,30799.999999999996,Pending,2
ORD-100281,2025-03-09,Rabat,Apple Watch Series 9,5,22500,15750.0,Delivered,15
ORD-100282,2025-09-28,Agadir,Machine à Café Nespresso,2,3000,2100.0,Delivered,4
ORD-100283,2025-04-08,Agadir,Imprimante HP LaserJet,5,12500,8750.0,Delivered,6
ORD-100284,2025-05-18,Oujda,Laptop Dell XPS,4,72000,50400.0,Pending,5
ORD-100285,2025-12-14,Fes,Imprimante HP LaserJet,2,5000,3500.0,Delivered,12
ORD-100286,2025-06-28,Marrakech,Air Fryer Ninja,1,1800,1260.0,Cancelled,6
ORD-100287,2025-09-27,Tanger,iPhone 15 Pro,2,27000,18900.0,Delivered,8
ORD-100288,2025-11-18,Marrakech,Casque Gamer HyperX,1,900,630.0,Cancelled,5
ORD-100289,2025-10-13,Casablanca,AirPods Pro 2,3,8400,5879.999999999999,Delivered,14
ORD-100290,2025-08-18,Marrakech,Drone DJI Mini,1,6000,4200.0,Delivered,6
